漫长的告别,上映14天,81.9万,1.14
雪人奇缘,,1.45亿,1.12
攀登者,,10.97亿,1.02
八佰,上映20天,24.82亿,2680.02
信条,上映6天,2.64亿,1610.60
我在时间尽头等你,上映16天,4.86亿,304.92
假面饭店,上映6天,1320.8万,99.45
秀美人生,上映4天,405.2万,57.22
我的女友是机器人,点映,109.2万,49.27
小妇人,上映16天,4394.1万,44.66
1/2的魔法,上映22天,5457.7万,30.87
盗梦空间,,4.94亿,30.31
小公主艾薇拉与神秘王国2,上映19天,335.2万,19.40
半条棉被,上映6天,100.3万,16.81
哈利·波特与魔法石,,2.46亿,16.04
北平会馆,上映21天,711.5万,12.14
误杀,,13.31亿,10.50
无“疯”也起浪,上映13天,69.4万,7.84
天下无毒,上映27天,40.5万,7.13
荞麦疯长,上映16天,5204.6万,6.35
活着唱着,上映13天,28.4万,6.24
阿里巴巴与神灯,上映5天,1423.9万,3.65
电力之战,上映13天,491.1万,3.17
花木兰,点映,2.7万,2.76
港珠澳大桥,,782.1万,2.35
梅艳芳菲,上映16天,35.2万,1.84
星际穿越,,8.76亿,1.60
半条被子,上映5天,12.0万,1.57
攀登者,,10.97亿,1.56
漫长的告别,上映13天,80.8万,1.18
1917,上映34天,6891.6万,1.16
八佰,上映19天,24.56亿,2726.59
信条,上映5天,2.48亿,1942.86
我在时间尽头等你,上映15天,4.83亿,325.43
假面饭店,上映5天,1221.3万,115.86
小妇人,上映15天,4349.4万,48.70
秀美人生,上映3天,348.0万,40.30
1/2的魔法,上映21天,5426.8万,36.72
盗梦空间,,4.94亿,31.82
小公主艾薇拉与神秘王国2,上映18天,315.8万,19.41
哈利·波特与魔法石,,2.46亿,17.59
我的女友是机器人,点映,60.0万,15.41
北平会馆,上映20天,699.4万,13.52
半条棉被,上映5天,83.5万,8.64
